,Tweets,Tweets
25,The Creator of iss Christ Photographs Trump Torture and a Killer Clown httpstcoSHtWsSYa0a via @vice,The Creator of Piss Christ Photographs Trump Torture and a Killer Clown httpstcoSHtWsSYa0a via @vice
45,ix voids Christ that sounds ominous Fred West Six voids found under cafe linked to serial killer and miss httpstcomDzaZs6skj,Six voids Christ that sounds ominous Fred West Six voids found under cafe linked to serial killer and miss httpstcomDzaZs6skj
60,@LUBOttom @YesAnastasia13 @ImaniBarbarin The question is which group of Christians is blathering that nonsense Te httpstcoYbyeTTUer1,Jesus Christ I didnt expect Biden to be THIS fucking bad Literal child-killer at this point good job jackass
61,nan,@LUBOttom @YesAnastasia13 @ImaniBarbarin The question is which group of Christians is blathering that nonsense Te httpstcoYbyeTTUer1
149,@heebs Always Heebsove you too Literally keeping you guys in my prayers daily during these times ,@heebs Always Heebslove you too Literally keeping you guys in my prayers daily during these times 
317,RT @CHAIMCentre Congrats to @NeuroCarleton prof @HymieAnisman on releasing a second edition of his book ealth Psychology  This upd,RT @CHAIMCentre Congrats to @NeuroCarleton prof @HymieAnisman on releasing a second edition of his book Health Psychology  This upd
500,RT @UKOAP Congo bishop in the face of Muslim persecution of Christians e are in a state of utter misery - httpstco9Ehs44bAgB via,RT @UKOAP Congo bishop in the face of Muslim persecution of Christians We are in a state of utter misery - httpstco9Ehs44bAgB via
553,Hanif Kureishi d like to see a British Muslim Sopranos httpstcoiVBJem0fw8,Hanif Kureishi Id like to see a British Muslim Sopranos httpstcoiVBJem0fw8
568,RT @OpIndiacom Extremists in Uganda chase Christian Pastor while shouting llahu-Akbar beheads him for debating about Islamhttpst,RT @OpIndiacom Extremists in Uganda chase Christian Pastor while shouting Allahu-Akbar beheads him for debating about Islamhttpst
577,RT @OpIndiacom Extremists in Uganda chase Christian Pastor while shouting llahu-Akbar beheads him for debating about Islamhttpst,RT @OpIndiacom Extremists in Uganda chase Christian Pastor while shouting Allahu-Akbar beheads him for debating about Islamhttpst
591,@archiegee64 ll of us are not important Islam is important than anythingI respect your religion but that doe httpstco1pFOwjGRU0,@archiegee64 all of us are not important Islam is important than anythingI respect your religion but that doe httpstco1pFOwjGRU0
610,adman  racist sexist pig new book details Obamas real thoughts on Trump httpstcoyRknpHqhEj,Madman  racist sexist pig new book details Obamas real thoughts on Trump httpstcoyRknpHqhEj
611,@PlayAdoptMe rading  I do Offer  like  nty sorry 2 sharks one post-teen one newborn one octopus juniorgol httpstcobZrIpbO4sO,@PlayAdoptMe Trading  I do Offer  like  nty sorry 2 sharks one post-teen one newborn one octopus juniorgol httpstcobZrIpbO4sO
734,RT @nailainayat From citing false Hitler quotes to quoting fake antisemitic hoax Pakistan parliamentarians want to uke Israel declare,RT @nailainayat From citing false Hitler quotes to quoting fake antisemitic hoax Pakistan parliamentarians want to nuke Israel declare
987,@luusdraw @Jay83036017 @adenabyan1 @IDF This is the truth of Pisslamoderate Muslims like you do this crap httpstcoxMRKVWTWBt,@luusdraw @Jay83036017 @adenabyan1 @IDF This is the truth of PisslamModerate Muslims like you do this crap httpstcoxMRKVWTWBt
997,RT @billkinppfilm face the wind feel the sand kiss the sky astTwilightInPhuket httpstcoHnWrYlxJYq,RT @billkinppfilm face the wind feel the sand kiss the sky LastTwilightInPhuket httpstcoHnWrYlxJYq
1076,RT @czajks @Forbes he used terms pakiampaghead to describe colleagues in army escaped suspension and disciplinary because he used the,RT @czajks @Forbes he used terms pakiampraghead to describe colleagues in army escaped suspension and disciplinary because he used the
1319,The Creator of iss Christ Photographs Trump Torture and a Killer Clown httpstcoSHtWsSYa0a via @vice,The Creator of Piss Christ Photographs Trump Torture and a Killer Clown httpstcoSHtWsSYa0a via @vice
1339,ix voids Christ that sounds ominous Fred West Six voids found under cafe linked to serial killer and miss httpstcomDzaZs6skj,Six voids Christ that sounds ominous Fred West Six voids found under cafe linked to serial killer and miss httpstcomDzaZs6skj
1426,@heebs Always Heebsove you too Literally keeping you guys in my prayers daily during these times ,@heebs Always Heebslove you too Literally keeping you guys in my prayers daily during these times 
1644, could hear their screams Inside Gazas Al-Wehda Street massacre but of course you wont hear it on Western me httpstcoR7b4VPhD3Q,I could hear their screams Inside Gazas Al-Wehda Street massacre but of course you wont hear it on Western me httpstcoR7b4VPhD3Q
1679,RT @theforeverman UN says lives of children in Gaza ell on Earth but does nothing no sanctions against the ZioNazi entity because ever,RT @theforeverman UN says lives of children in Gaza Hell on Earth but does nothing no sanctions against the ZioNazi entity because ever
1682,UN says lives of children in Gaza ell on Earth but does nothing no sanctions against the ZioNazi entity because httpstcoSF5xu3Swjq,UN says lives of children in Gaza Hell on Earth but does nothing no sanctions against the ZioNazi entity because httpstcoSF5xu3Swjq
1848,f Northern States Can Ban Beer Pig Farming Southern States Can Ban Open GrazingOmokri Slams Malami httpstcoA8LYFTowkB,If Northern States Can Ban Beer Pig Farming Southern States Can Ban Open GrazingOmokri Slams Malami httpstcoA8LYFTowkB
1979,RT @jihadwatchRS Pakistan Muslims target leader of rival Islamic group at rally for alestinian jihad murder six people httpstcoA,RT @jihadwatchRS Pakistan Muslims target leader of rival Islamic group at rally for Palestinian jihad murder six people httpstcoA
1980,RT @jihadwatchRS Pakistan Muslims target leader of rival Islamic group at rally for alestinian jihad murder six people httpstcoA,RT @jihadwatchRS Pakistan Muslims target leader of rival Islamic group at rally for Palestinian jihad murder six people httpstcoA
1993,RT @jihadwatchRS Pakistan Muslims target leader of rival Islamic group at rally for alestinian jihad murder six people httpstcoA,RT @jihadwatchRS Pakistan Muslims target leader of rival Islamic group at rally for Palestinian jihad murder six people httpstcoA
2248,@luusdraw @Jay83036017 @adenabyan1 @IDF This is the truth of Pisslamoderate Muslims like you do this crap httpstcoxMRKVWTWBt,@luusdraw @Jay83036017 @adenabyan1 @IDF This is the truth of PisslamModerate Muslims like you do this crap httpstcoxMRKVWTWBt
2262,RT @billkinppfilm face the wind feel the sand kiss the sky astTwilightInPhuket httpstcoHnWrYlxJYq,RT @billkinppfilm face the wind feel the sand kiss the sky LastTwilightInPhuket httpstcoHnWrYlxJYq
2327,@mmetcalf @p0rkatsu @MadnessHarkle @yankeewally2 He also called him aghead another racial slurunbelievably httpstcoe8raRmhv9w,@mmetcalf @p0rkatsu @MadnessHarkle @yankeewally2 He also called him raghead another racial slurunbelievably httpstcoe8raRmhv9w
2330,@ConstanceRonal1 @MaisonEvent Racist Who wore nazi uniform and who called his fellows P@ and aghead Who told a httpstcocuLbjn0yfg,@ConstanceRonal1 @MaisonEvent Racist Who wore nazi uniform and who called his fellows P@ and raghead Who told a httpstcocuLbjn0yfg
2347,RT @czajks @Forbes he used terms pakiampaghead to describe colleagues in army escaped suspension and disciplinary because he used the,RT @czajks @Forbes he used terms pakiampraghead to describe colleagues in army escaped suspension and disciplinary because he used the
2407,RT @MAliISP TeamISP@WeareISPIANS List Num 2MAliISP MumRZ1 stfubishh J786 SyedHifzain0RoMma aswadibarheem2,RT @MAliISP TeamISP@WeareISPIANS List Num 2@MAliISP @MumRZ1 @stfubishh @J786 @SyedHifzain@0RoMma @aswadibarheem2
2546,Christ killer was a a common anti-Semitic slur used through the centuries as an excuse to slaughter and expel Jews httpstcoXzfrGaRycM,Christ killer was a a common anti-Semitic slur used through the centuries as an excuse to slaughter and expel Je httpstcoXzfrGaRycM
2708,@heebs Always Heebsove you too Literally keeping you guys in my prayers daily during these times ,@heebs Always Heebslove you too Literally keeping you guys in my prayers daily during these times 
3236,RT @jihadwatchRS Illinois Pro-jihad demonstrators scream ill the Jews httpstcoySIKxTK0Bi httpstcoDfE3U4y1Na,RT @jihadwatchRS Illinois Pro-jihad demonstrators scream Kill the Jews httpstcoySIKxTK0Bi httpstcoDfE3U4y1Na
